questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
"Wade has called into a rest stop and decides to get food for the road. He buys a sandwich to eat now, one for the road, and one for in the evening. He also buys 2 drinks. If the drinks cost $4 each and Wade spends a total of $26 then how much, in dollars, did the sandwiches each cost?",Step 1,Wade bought 3 sandwiches because 1 + 1 + 1 = <<1+1+1=3>>3,1,1,['1+1+1=3'],['1+1+1=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
"Wade has called into a rest stop and decides to get food for the road. He buys a sandwich to eat now, one for the road, and one for in the evening. He also buys 2 drinks. If the drinks cost $4 each and Wade spends a total of $26 then how much, in dollars, did the sandwiches each cost?",Step 2,Wade spent $12 on sandwiches because 3 x 4 = <<3*4=12>>12,1,1,['3*4=12'],['3*4=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
"Wade has called into a rest stop and decides to get food for the road. He buys a sandwich to eat now, one for the road, and one for in the evening. He also buys 2 drinks. If the drinks cost $4 each and Wade spends a total of $26 then how much, in dollars, did the sandwiches each cost?",Step 3,The sandwiches cost $4 each because 12 / 3 = <<12/3=4>>4 The answer is: 4,0,1,['12/3=4'],['12/3=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Bridgette has 2 dogs, 3 cats, and 4 birds. She gives the dogs a bath twice a month. She gives the cats a bath once a month. She gives the birds a bath once every 4 months. In a year, how many baths does she give?",Step 1,She gives the dogs 2 baths a month * 12 months a year = <<2*12=24>>24 baths a year.,0,1,['2*12=24'],['2*12=>24=>24.0000000000000'],['24=>24.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['24.0000000000000']
"Bridgette has 2 dogs, 3 cats, and 4 birds. She gives the dogs a bath twice a month. She gives the cats a bath once a month. She gives the birds a bath once every 4 months. In a year, how many baths does she give?",Step 2,She gives the cats 1 bath a month * 12 months a year = <<1*12=12>>12 baths a year.,0,1,['1*12=12'],['1*12=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
"Bridgette has 2 dogs, 3 cats, and 4 birds. She gives the dogs a bath twice a month. She gives the cats a bath once a month. She gives the birds a bath once every 4 months. In a year, how many baths does she give?",Step 3,She gives the birds 1 bath every 4 months * 12 months a year / 4 = <<1*12/4=3>>3 baths a year.,0,1,['1*12/4=3'],['1*12/4=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
"Bridgette has 2 dogs, 3 cats, and 4 birds. She gives the dogs a bath twice a month. She gives the cats a bath once a month. She gives the birds a bath once every 4 months. In a year, how many baths does she give?",Step 4,She gives 24 baths to the dogs + 12 baths to the cats + 3 baths to the birds = <<24+12+3=39>>39 baths a year. The answer is: 39,0,1,['24+12+3=39'],['24+12+3=>39=>39.0000000000000'],['39=>39.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['39.0000000000000']
"Sally took 342 pens to her class of 44 students. If she gave 7 pens to each student, left half of the remainder in her locker, and took the rest home, how many did she take home?",Step 1,Subtract the number of pens given to the students from the total number of pens to find the remainder: 342 pens - 44 pens = <<342-44=298>>298 pens,0,1,['342-44=298'],['342-44=>298=>298.000000000000'],['298=>298.000000000000'],['sympy'],['sympy'],[''],[''],[1],['298.000000000000']
"Sally took 342 pens to her class of 44 students. If she gave 7 pens to each student, left half of the remainder in her locker, and took the rest home, how many did she take home?",Step 2,Sally left 298/2 = 149 pens in her locker.,0,1,[' 298/2 = 149 '],[' 298/2 =>298/2=>149=>149.000000000000'],[' 149 =>149=>149.000000000000'],['sympy'],['sympy'],[''],[''],[1],['149.000000000000']
"Sally took 342 pens to her class of 44 students. If she gave 7 pens to each student, left half of the remainder in her locker, and took the rest home, how many did she take home?",Step 3,Then she took home 298 - 149 = 149 pens. The answer is: 149,0,1,[' 298 - 149 = 149 '],[' 298 - 149 =>298 - 149=>149=>149.000000000000'],[' 149 =>149=>149.000000000000'],['sympy'],['sympy'],[''],[''],[1],['149.000000000000']
"Martha met Ellen in the grocery store alone and asked her age. Martha realized she was twice as old as Ellen will be in six years. If Ellen is 10 years old now, calculate Martha's age now.",Step 1,"If Ellen is currently 10 years old and Martha realizes Ellen will be twice as old as Ellen is now in six years, Ellen will be 10*2 = <<10*2=20>>20 years old in six years.",0,1,['10*2=20'],['10*2=>20=>20.0000000000000'],['20=>20.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['20.0000000000000']
"Martha met Ellen in the grocery store alone and asked her age. Martha realized she was twice as old as Ellen will be in six years. If Ellen is 10 years old now, calculate Martha's age now.",Step 2,Martha's age now is 20 - 6 = <<20-6=14>>14 years old. The answer is: 14,0,1,['20-6=14'],['20-6=>14=>14.0000000000000'],['14=>14.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['14.0000000000000']
Jeff plays tennis for 2 hours.  He scores a point every 5 minutes.  He wins a match when he scores 8 points.  How many games did he win?,Step 1,He played for 2*60=<<2*60=120>>120 minutes,1,1,['2*60=120'],['2*60=>120=>120.000000000000'],['120=>120.000000000000'],['sympy'],['sympy'],[''],[''],[1],['120.000000000000']
Jeff plays tennis for 2 hours.  He scores a point every 5 minutes.  He wins a match when he scores 8 points.  How many games did he win?,Step 2,So he scored 120*5=<<120*5=600>>600 points,0,1,['120*5=600'],['120*5=>600=>600.000000000000'],['600=>600.000000000000'],['sympy'],['sympy'],[''],[''],[1],['600.000000000000']
Jeff plays tennis for 2 hours.  He scores a point every 5 minutes.  He wins a match when he scores 8 points.  How many games did he win?,Step 3,That means he won 600/8=<<600/8=75>>75 games The answer is: 75,0,1,['600/8=75'],['600/8=>75=>75.0000000000000'],['75=>75.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['75.0000000000000']
Betty bought 1 kg of oranges and 3 kg of apples. The total cost of oranges was $12. The apples were two times cheaper than the oranges. How much did Betty pay for 1 kg of apples?,Step 1,The price of oranges was $12 / 1 kg = $<<12/1=12>>12/kg.,0,1,['12/1=12'],['12/1=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
Betty bought 1 kg of oranges and 3 kg of apples. The total cost of oranges was $12. The apples were two times cheaper than the oranges. How much did Betty pay for 1 kg of apples?,Step 2,"So the apples were two times cheaper than oranges, which means that the apples cost $12 / 2 = $<<12/2=6>>6/kg.",1,1,['12/2=6'],['12/2=>6=>6.00000000000000'],['6=>6.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['6.00000000000000']
Betty bought 1 kg of oranges and 3 kg of apples. The total cost of oranges was $12. The apples were two times cheaper than the oranges. How much did Betty pay for 1 kg of apples?,Step 3,Betty paid $6 / kg * 3 kg = $<<6*3=18>>18 for the apples. The answer is: 18,0,1,['6*3=18'],['6*3=>18=>18.0000000000000'],['18=>18.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['18.0000000000000']
"At the zoo, there are 5 different types of animals. Seeing each animal type takes around 6 minutes. How much time would it take to see each animal type if the zoo decided to import 4 new species?",Step 1,"At the current zoo, it takes 5 * 6 = <<5*6=30>>30 minutes to see all the animal types.",1,1,['5*6=30'],['5*6=>30=>30.0000000000000'],['30=>30.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['30.0000000000000']
"At the zoo, there are 5 different types of animals. Seeing each animal type takes around 6 minutes. How much time would it take to see each animal type if the zoo decided to import 4 new species?",Step 2,"If they add 4 new species, it would take 4 + 30 = <<4+30=34>>34 minutes to see all the animal types. The answer is: 34",0,1,['4+30=34'],['4+30=>34=>34.0000000000000'],['34=>34.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['34.0000000000000']
Ocho has 8 friends and half are girls. His friends who are boys like to play theater with him. How many boys play theater with him?,Step 1,"If there are 8 friends, 4 of them are girls because 8/2 = <<8/2=4>>4",1,1,['8/2=4'],['8/2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
Ocho has 8 friends and half are girls. His friends who are boys like to play theater with him. How many boys play theater with him?,Step 2,There are 8 - 4 = <<8-4=4>>4 boys because 8 - 4 = <<8-4=4>>4,1,1,"['8-4=4', '8-4=4']","['8-4=>4=>4.00000000000000', '8-4=>4=>4.00000000000000']","['4=>4.00000000000000', '4=>4.00000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[1, 1]","['4.00000000000000', '4.00000000000000']"
Ocho has 8 friends and half are girls. His friends who are boys like to play theater with him. How many boys play theater with him?,Step 3,There are 4 x 2 = <<4*2=8>>8 boys because 4 x 2 = <<4*2=8>>8 The answer is: 8,0,1,"['4*2=8', '4*2=8']","['4*2=>8=>8.00000000000000', '4*2=>8=>8.00000000000000']","['8=>8.00000000000000', '8=>8.00000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[1, 1]","['8.00000000000000', '8.00000000000000']"
"Freddie and his team are collecting blankets for three days to be donated to the Children Shelter Organization. There are 15 people on the team. On the first day, each of them gave 2 blankets. On the second day, they tripled the number they collected on the first day by asking door-to-door. On the last day, they set up boxes at schools and got a total of 22 blankets. How many blankets did they collect for the three days for donation?",Step 1,"On the first day, they collected 15 x 2 = <<15*2=30>>30 blankets.",1,1,['15*2=30'],['15*2=>30=>30.0000000000000'],['30=>30.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['30.0000000000000']
"Freddie and his team are collecting blankets for three days to be donated to the Children Shelter Organization. There are 15 people on the team. On the first day, each of them gave 2 blankets. On the second day, they tripled the number they collected on the first day by asking door-to-door. On the last day, they set up boxes at schools and got a total of 22 blankets. How many blankets did they collect for the three days for donation?",Step 2,"On the second day, they collected 3 x 30 = <<3*30=90>>90 blankets.",1,1,['3*30=90'],['3*30=>90=>90.0000000000000'],['90=>90.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['90.0000000000000']
"Freddie and his team are collecting blankets for three days to be donated to the Children Shelter Organization. There are 15 people on the team. On the first day, each of them gave 2 blankets. On the second day, they tripled the number they collected on the first day by asking door-to-door. On the last day, they set up boxes at schools and got a total of 22 blankets. How many blankets did they collect for the three days for donation?",Step 3,"On the third day, they collected 22 + 90 = <<22+90=112>>112 blankets.",0,1,['22+90=112'],['22+90=>112=>112.000000000000'],['112=>112.000000000000'],['sympy'],['sympy'],[''],[''],[1],['112.000000000000']
"Freddie and his team are collecting blankets for three days to be donated to the Children Shelter Organization. There are 15 people on the team. On the first day, each of them gave 2 blankets. On the second day, they tripled the number they collected on the first day by asking door-to-door. On the last day, they set up boxes at schools and got a total of 22 blankets. How many blankets did they collect for the three days for donation?",Step 4,"In total, they collected 112 + 30 + 90 = <<112+30+90=232>>232 blankets. The answer is: 232",0,1,['112+30+90=232'],['112+30+90=>232=>232.000000000000'],['232=>232.000000000000'],['sympy'],['sympy'],[''],[''],[1],['232.000000000000']
"A shipping boat's crew consisted of 17 sailors, with five inexperienced sailors. Each experienced sailor was paid 1/5 times more than the inexperienced sailors. If the inexperienced sailors were paid $10 per hour for a 60-hour workweek, calculate the total combined monthly earnings of the experienced sailors.",Step 1,"If the inexperienced sailors were paid $10 per hour for a 60-hour workweek, then the experienced sailors were paid $10 * 5 = $<<10*5=50>>50 per hour.",0,1,['10*5=50'],['10*5=>50=>50.0000000000000'],['50=>50.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['50.0000000000000']
"A shipping boat's crew consisted of 17 sailors, with five inexperienced sailors. Each experienced sailor was paid 1/5 times more than the inexperienced sailors. If the inexperienced sailors were paid $10 per hour for a 60-hour workweek, calculate the total combined monthly earnings of the experienced sailors.",Step 2,"If each experienced sailor was paid 1/5 times more than the inexperienced sailors, then each experienced sailor was paid $50 * 1/5 = $<<50*1/5=10>>10 more than the inexperienced sailors.",0,1,['50*1/5=10'],['50*1/5=>10=>10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.0000000000000']
"A shipping boat's crew consisted of 17 sailors, with five inexperienced sailors. Each experienced sailor was paid 1/5 times more than the inexperienced sailors. If the inexperienced sailors were paid $10 per hour for a 60-hour workweek, calculate the total combined monthly earnings of the experienced sailors.",Step 3,"If there were 17 experienced sailors, then the total number of experienced sailors paid $10 more than the inexperienced sailors is $10 * 17 = $<<10*17=170>>170.",0,1,['10*17=170'],['10*17=>170=>170.000000000000'],['170=>170.000000000000'],['sympy'],['sympy'],[''],[''],[1],['170.000000000000']
"A shipping boat's crew consisted of 17 sailors, with five inexperienced sailors. Each experienced sailor was paid 1/5 times more than the inexperienced sailors. If the inexperienced sailors were paid $10 per hour for a 60-hour workweek, calculate the total combined monthly earnings of the experienced sailors.",Step 4,"Since each experienced sailor was paid $50 per hour, the total combined monthly earnings of the experienced sailors is $170 * 50 = $<<170*50=8500>>8500. The answer is: 8500",0,1,['170*50=8500'],['170*50=>8500=>8500.00000000000'],['8500=>8500.00000000000'],['sympy'],['sympy'],[''],[''],[1],['8500.00000000000']
